Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
FBIO,,,,,,,,,,,,,,,,,,,,,53687,46613,31473,16933,21973,31000,40367,45440,58767,23047,36320,22620,17800,24113,19673,17860,18993,22860,24447,20093,35380,24480,33253,41047,49800,29773,25407,35747,28800,23440,18560,19907,19560,23727,24600,19047,22573,22360,19520,23720,38133,37320,25473,34300,88220,59593,37760,23180,37753,27027,80100,28773,43047,33067,23553,31820,23060,26507,25660,13787,19160,16313,38927,40000,19353,37300,23173,42427,56587,42633,46340,35887,48147,40213,46213,35227,44593,71460,78900,54867,34867,59220,,,,,,,,,,,,,,,,,,,
ATXI,,,,,,,,,,,,,,,,,,,,,12067,10373,13153,12687,16060,13160,23807,26873,23393,10480,4647,4040,20687,11787,7120,12753,11367,9507,4713,7573,15933,8147,7273,34633,11420,4580,4953,5380,6787,6907,13520,1353,5347,3533,9527,7240,18660,36273,27607,31253,240,420407,94447,48427,36693,24847,33933,46013,251220,13924440,2053840,497727,1369453,326987,207767,157540,51720,272333,44987,34267,80947,27280,40813,54760,17300,17580,27073,17273,58573,17027,9360,15667,19140,79173,76320,17113,24333,19293,31233,22433,68093,29540,,,,,,,,,,,,,,,,,,,
AXSM,,,,,,,,,,,,,,,,,,,,476600,956900,445800,764800,637600,696300,442500,863700,541300,628400,617600,1120000,437900,492000,418800,427900,469800,1494700,1769700,1005200,910800,816000,808700,517600,691200,767100,801100,765100,590600,634200,602600,989500,10981100,1749900,1247500,708200,4406800,1697100,785800,856700,735400,1331600,910100,1097000,641300,2958800,1046500,884700,944000,1281900,710900,574800,970000,665200,441800,840000,1105700,881700,676800,837700,760700,950300,665800,708700,609800,706000,703900,692000,612900,707800,801200,730700,596000,735700,1128700,735600,1120300,702900,701600,23596000,5495100,3699800,1784000,,,,,,,,,,,,,,,,,,,
ETON,,,,,,,,,,,,,,,,,,73300,63500,38500,87400,79300,71500,33800,17300,51900,56300,2852200,326500,130000,69700,88000,63600,50300,42200,36300,52800,51400,46200,54100,47300,52100,41800,23200,14700,55400,72200,75700,52800,139200,171300,38900,48600,23100,38500,83200,74200,35600,58200,64100,197100,164300,88400,48800,63500,40300,108800,51900,24100,33400,74800,51800,27600,94500,79200,42800,63900,51200,467400,106500,195100,69900,20900,21000,80100,49700,167900,109500,62400,64200,40200,44500,39800,6178700,817800,224100,191200,168300,59300,,,,,,,,,,,,,,,,,,,,,,
RYTM,,,,,,,,,,,,,,,,,,,229400,275400,155500,215300,194100,260300,189700,360100,277800,283000,441500,380600,522700,521200,337000,852000,713000,940200,651000,992300,627600,480800,514200,601900,483500,438400,493700,460800,615300,320700,689100,718300,393500,565400,950300,1161200,745300,631800,776500,577600,588700,771800,5849300,12221300,2126000,1190700,737300,5855900,790400,407200,373400,370200,394600,320200,481100,690200,191600,249600,7236400,29957500,2990500,7759200,7313500,3129900,10609200,7202400,2924800,1825700,1470300,852200,2154300,1756700,940800,4140500,2658400,1604000,1951000,2681000,1370100,1527400,1046400,1304300,,,,,,,,,,,,,,,,,,,,,
SPRO,,,,,,,,,,,,,,,,,,,,,180600,281000,289700,17612100,3178600,1738600,2374600,724100,494400,394400,508500,506500,453100,589000,452400,561100,526000,282800,356600,208500,411400,452200,481900,295600,302400,533700,447800,499900,231400,238500,189400,230500,189100,188800,252600,232800,292400,278700,329400,3253900,502300,475400,593800,219300,218100,354500,135000,235300,170400,168300,171400,223200,207200,90900,193300,136500,157300,104100,106600,108700,96400,236100,352200,128700,140600,74800,423700,125300,188900,491900,529600,225600,430400,111700,374700,273400,567700,224600,133500,138200,84400,58100,132600,,,,,,,,,,,,,,,,,,
ACAD,,,,,,,,,,,,,,,,,,,1521500,1888500,1230400,1277000,2038700,2795700,2507300,20608400,7927500,0,22269000,5888800,5568000,3829900,2365100,2721400,1844600,1592200,1576000,2207400,1838400,2212800,1616000,1989100,2389900,1536300,1771800,3163600,1855400,2493000,1480400,965500,1224800,1281100,1095100,1335200,1075200,1352400,1968300,1426000,2179600,1803100,4046200,2062200,3035200,1596100,1443800,1370100,1284800,1706400,1668300,1621400,1196300,1449600,1303600,949500,913700,1669400,1322100,1531700,1051500,1153400,1251700,1266800,1520200,1474900,936200,1579100,1449000,1414400,2382600,2729500,1895100,1664500,1972100,1260900,1331100,1088100,1547700,1624900,1535500,1460500,1258400,,,,,,,,,,,,,,,,,,,,
SUPN,,,,,,,,,,,,,,,,,,,,295200,512500,763200,363200,341200,245300,536500,461300,408300,264500,233100,299800,485000,512900,557000,465200,207300,280100,418500,279000,267200,476600,292900,249500,222300,863500,441500,391600,317000,588800,441800,271800,701300,544400,401200,723900,420600,380200,465100,469900,433200,1045900,627700,264200,396300,366600,320100,248100,264500,202200,187000,158000,183000,245700,233000,240900,335800,228700,338700,429100,401800,512000,555700,754600,735700,598200,535000,378400,272600,291000,225400,178800,200900,146100,134000,411000,337900,452800,727700,533500,407400,185900,178500,190700,,,,,,,,,,,,,,,,,,
YMAB,,,,,,,,,,,,,,,,,,,447400,296400,393700,245000,407700,223600,302900,184600,264800,339300,272500,251800,248500,115300,237100,157900,221300,2097200,1908300,304900,5220600,2198100,1711400,1919400,1145000,1056200,1586400,1013100,962100,1023300,505600,532200,806600,516500,724300,581400,656100,477800,201700,539400,268400,463400,407700,630000,536600,442300,410100,306300,646900,539800,541400,471000,714100,2864100,382000,403400,316300,476900,145600,252500,216300,237700,180400,308800,302200,493700,221400,450000,262900,193700,469900,320600,351500,250300,204400,398400,293100,403300,283000,149800,331500,,,,,,,,,,,,,,,,,,,,,,
CYTK,,,,,,,,,,,,,,,,,,,,,,940300,1006100,942600,998900,786200,820500,920500,1060500,925400,780500,639200,532700,776400,684300,1498800,1197900,1066600,494600,405900,907200,908700,1063100,983800,998300,649400,625100,668300,514900,1005200,1108000,744900,1347700,931900,749500,1114200,873700,676300,743100,445800,1110300,977300,1692700,1066000,1990700,1156500,861100,1190500,1812000,1499600,895200,767700,1146100,2429100,841100,1414500,804900,815100,720700,539800,803700,591200,838200,3036600,1556100,1062900,667800,605300,1655900,542900,795600,1195000,551700,988100,1274500,716600,580200,855200,777000,972700,431100,753800,978300,,,,,,,,,,,,,,,,,,
