Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
ALNY,,,,,,,,,,,,,,,,,,382900,869600,738600,645600,1116600,806800,664500,515100,348100,711400,520200,790300,494200,602000,730500,547200,310100,730800,519900,562400,741300,440500,489900,425200,896400,506800,555400,426700,418300,489500,565300,646900,754700,654600,1328500,886900,809300,1091600,1056100,1303800,986200,832200,1400700,663000,4006900,1041400,1051200,619500,635900,986200,660800,648700,874400,935800,3340100,1393900,883800,780900,604800,887600,584800,574500,772900,1049700,1137300,2614300,1191700,820200,705900,552700,518200,523100,798700,563700,577900,651200,1908700,1170000,640500,722900,514000,647000,865400,809900,,,,,,,,,,,,,,,,,,,,
FOLD,,,,,,,,,,,,,,,,,,1266600,1696900,1739300,1390000,3205400,983000,2254600,2037200,1825500,3627400,3425800,1753700,2473400,2338500,2041000,1962500,709000,1521900,1904400,2086700,1361200,2302800,2093400,2145100,1391400,1793300,2444600,1090500,1111900,1111700,2014100,1326100,1403200,2207000,2828300,1929100,2911500,923800,1115000,2340100,2388200,1062700,2119600,479600,3839800,2505900,2246600,1742400,1425400,1713100,2624900,1324400,861300,1085600,1374900,1464700,2265600,1745400,1543600,2912100,2102500,2992600,2625800,3947700,2328100,2746000,1437100,2297700,2476300,2199900,1446600,6579900,5674500,2007900,3339700,2108500,1749400,5845700,5041400,3726600,4958700,3051100,4280200,3422500,,,,,,,,,,,,,,,,,,,,
ORGS,,,,,,,,,,,,,,,,,,,,9000,13100,42700,14800,46100,15000,11000,13300,44100,15800,34700,10600,37000,4100,6200,70200,13000,15200,16300,6000,14200,25300,49000,100100,49800,23300,35700,35400,51700,30900,52000,26900,18300,30900,3900,48200,14200,32800,17300,13600,24800,7300,15300,7700,14500,9200,127700,92700,6400,8500,6900,14500,19100,109400,74100,138100,90200,38200,29800,21200,37300,45400,62000,29700,71500,20000,55500,15300,25000,163400,1137400,488300,101600,165400,42900,73700,38300,92500,408400,87200,60700,78100,13100,,,,,,,,,,,,,,,,,,,
KALA,,,,,,,,,,,,,,,,,,,2192,1202,2396,3012,1910,3534,1700,4018,6276,6168,3092,2272,1690,1748,2154,2236,2690,2404,1612,8682,4628,2722,4408,2100,2114,2554,1170,2412,1546,2552,2424,6210,6480,2864,4672,7436,7164,5830,4522,6388,13378,12612,23324,12276,8364,2970,5020,4478,2560,3360,3496,12682,4514,2928,4158,4718,4018,2286,2404,2890,2306,2822,5854,1814,3346,6758,4168,5056,4714,3742,58808,11470,9702,23660,12248,15600,14010,21676,12250,24512,9300,6114,16342,,,,,,,,,,,,,,,,,,,,
BHC,,,,,,,,,,,,,,,,,,6897400,6142800,6506100,5004900,5921200,4061700,2242200,3935800,4637300,6931100,3912300,6140500,5563000,6564000,3504000,4044500,4011700,4077000,2286100,2895800,2941300,2897300,3014000,2191600,4263600,3452400,2820300,3796300,4099000,5092000,11439900,5029300,5448800,7001100,4659700,2449100,4587500,3651600,3185200,2813600,2863900,4665500,3529300,3276900,3160400,2085600,3276200,4331300,3339400,9904900,4015300,4049300,3250300,3372500,2379400,15974300,5789000,4842700,4607100,8668500,4661100,7099200,3981100,3991100,4415100,4041400,3291600,6215300,10663000,6309300,9708500,8144600,4519500,5267300,3970500,7157200,5953500,4206600,2558100,4351100,4942000,2770600,3462100,3438100,,,,,,,,,,,,,,,,,,,,
INVA,,,,,,,,,,,,,,,,,,,,966900,908900,1216000,583000,989500,614200,739700,689200,611900,463300,396400,613400,844300,748500,625100,585000,725500,743900,933500,711200,1018900,582600,1482500,940700,900400,904500,992200,653700,463900,396800,623400,342800,406700,704300,455100,395900,374600,1414200,963200,483600,664900,464700,624000,420100,352100,381800,646300,1143700,766300,499600,977300,627600,404700,398100,481100,654300,569400,589800,742000,1701300,742100,396500,563000,526000,669500,993100,903700,1738700,535100,1226800,452400,512500,1112300,917400,770300,828000,716800,488000,803100,681900,1195900,970700,999400,1053300,,,,,,,,,,,,,,,,,,
AQST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3144000,469700,294400,34100,169300,102500,77400,31700,75200,114000,219400,199600,76400,44800,54900,33300,63400,53100,158200,78700,88400,169100,63400,71100,145800,230800,171200,229000,192000,98500,188800,145600,108800,133300,119100,208600,176500,197600,202200,164200,252600,705900,199400,174000,74000,72600,84200,143000,79200,136800,178400,136700,73600,97500,108000,53900,85500,59100,33500,235900,135700,74200,65000,52600,42100,128900,36900,30100,,,,,,,,,,,,,,,,,,,,
TEVA,,,,,,,,,,,,,,,,,,6314800,5131200,7559100,5714800,4488700,7120200,5709600,7551900,6846300,6911000,8070900,6893200,11527000,34892200,9847600,17462800,11422300,12304500,8689400,4126200,11264600,8342600,9119700,29609600,16476700,17820800,12782100,12602400,20025900,15230400,12531000,10586800,6408000,5542000,5365700,8611500,6848200,16139700,9728500,7659300,13709100,10730300,10367700,11568400,29339400,21119200,17166000,9173300,9309500,9955300,8762600,27724700,22620100,11427700,15530300,16055200,11000500,13771200,7280900,8214100,11467000,8793300,12138500,11357000,7880800,5488100,13095200,10094700,4090700,8304900,9028400,9783000,6476900,11643200,8241100,8088400,16059100,27304000,11392000,18399900,9749900,9748300,11336900,6637100,7393200,,,,,,,,,,,,,,,,,,,
VSTM,,,,,,,,,,,,,,,,,,,,83500,123542,122692,100725,96550,102575,92958,129150,85975,93925,594492,291667,180725,125208,161267,179800,175358,126850,190317,209750,331517,223275,220925,334450,114700,212800,183008,271858,308833,278425,206133,157042,125867,223333,182258,149708,266725,213883,175358,145750,1095092,364883,1290950,476950,477225,245083,373850,262858,323742,234458,240850,194817,158833,253567,230142,836550,278783,222208,146242,163183,198233,231200,192683,278767,158708,195175,168317,183175,290983,187600,177233,84467,120425,239833,409017,190200,154133,104683,192558,186083,143092,135225,122275,92858,,,,,,,,,,,,,,,,,,
INSM,,,,,,,,,,,,,,,,,,611400,797200,1111300,1936000,5062100,3693600,15200,2803200,1472000,982400,1143300,986300,999300,888000,476800,759200,1132900,397300,441900,361100,480100,536800,351000,440900,1137600,867800,469300,576100,305800,369600,469800,337200,325000,487400,720700,880000,809700,1101700,2516700,1108400,986200,762200,901900,1921700,7389600,3606000,1922000,2525000,2282000,761500,854900,1075100,897300,654400,521500,768700,686600,373300,510200,436500,915900,913800,968900,717000,924400,1353000,1169900,1262000,965500,2073100,782200,703000,956600,904400,697800,552000,1124200,788000,879300,780000,607800,506100,241700,1179800,,,,,,,,,,,,,,,,,,,,
LGND,,,,,,,,,,,,,,,,,,,,340798,431688,513441,1665196,782104,603850,535883,712373,735456,402834,788035,915954,708847,617796,524822,415818,399307,497411,494045,448199,434894,435856,612827,588141,580767,541814,472564,578042,685763,557363,520013,604812,1009890,735456,570347,1099498,740907,504304,546944,531234,471603,592950,666207,1024638,727762,620040,704358,1452478,1742782,2084060,2058893,1149030,1184136,1284003,979433,1287209,1412564,1265889,1491912,1305163,1198723,927977,891108,1367680,1059904,911306,7860952,1347963,1348444,2521359,1321674,1035538,1114245,1062629,736899,818812,769280,922527,445634,247022,647452,953304,806950,627895,,,,,,,,,,,,,,,,,,
HALO,,,,,,,,,,,,,,,,,,,,749400,673300,670200,674300,1241600,1270100,1252000,832600,1100900,931700,712300,483200,536100,770900,2053000,1474100,1295600,894300,1870500,658300,539500,569400,619900,580900,697700,629200,701700,564100,567300,429300,700300,804200,918200,528400,589300,2553400,708800,954000,537200,690600,712600,1116100,947500,1060100,725900,858800,763300,744500,959500,1455900,773600,768100,844400,427000,613100,1496500,1430200,934500,1281500,1341500,1002800,855400,897800,1160200,1113100,825300,614600,836800,1795000,913700,781500,1048200,737900,681000,902900,693400,678900,597200,707100,315200,625900,1667000,972800,607500,,,,,,,,,,,,,,,,,,
IONS,,,,,,,,,,,,,,,,,,600900,1407300,1543000,1239700,2341600,1226600,1065600,960400,794600,712600,830700,1048100,1030500,1199800,2031400,2671900,6119200,1817000,908300,556800,1448200,876200,1020400,775500,932700,630700,869200,964800,844900,1762000,1481400,653400,702000,1728000,1002900,2152400,864700,718600,942700,865000,1094100,1372500,1202700,818900,3512300,1650900,1460600,1343000,911700,749900,873600,708900,534600,837500,1052200,1930000,1374100,1131900,954500,750500,1076500,958600,1161900,873500,1716400,1508300,1258800,1082600,1136800,1546300,948900,1371000,738000,972600,669700,803400,469100,399800,843900,970100,874500,937200,791400,906700,,,,,,,,,,,,,,,,,,,,
